Codigo,Nombre
05665,DIRECCION MUNICIPAL DE SALUD DE SAN PEDRO DE URABA
05667,DIRECCION MUNICIPAL DE SALUD DE SAN RAFAEL
05670,DIRECCION MUNICIPAL DE SALUD DE SAN ROQUE
05674,DIRECCION MUNICIPAL DE SALUD DE SAN VICENTE
05679,DIRECCION MUNICIPAL DE SALUD DE SANTA BARBARA
05686,DIRECCION MUNICIPAL DE SALUD DE SANTAROSA DE OSOS
05690,DIRECCION MUNICIPAL DE SALUD DE SANTO DOMINGO
05697,DIRECCION LOCAL DE SALUD EL SANTUARIO
05736,DIRECCION MUNICIPAL DE SALUD DE SEGOVIA
05756,DIRECCION MUNICIPAL DE SALUD DE SONSON
05761,DIRECCION MUNICIPAL DE SALUD DE SOPETRAN
05789,DIRECCION MUNICIPAL DE SALUD DE TAMESIS
05790,DIRECCION MUNICIPAL DE SALUD DE TARAZA
05792,DIRECCION MUNICIPAL DE SALUD DE TARSO
05809,DIRECCION MUNICIPAL DE SALUD DE TITIRIBI
05819,DIRECCION MUNICIPAL DE SALUD DE TOLEDO
05837,DIRECCION MUNICIPAL DE SALUD DE TURBO
05842,DIRECCION MUNICIPAL DE SALUD DE URAMITA
05847,DIRECCION MUNICIPAL DE SALUD DE URRAO
05854,DIRECCION MUNICIPAL DE SALUD DE VALDIVIA
05856,DIRECCION MUNICIPAL DE SALUD DE VALPARAISO
05858,DIRECCION LOCAL DE SALUD VEGACHI ANT
05861,DIRECCION MUNICIPAL DE SALUD DE VENECIA
05873,DIRECCION MUNICIPAL DE SALUD DE VIGIA DEL FUERTE
05885,DIRECCION MUNICIPAL DE SALUD DE YALI
05887,DIRECCION MUNICIPAL DE SALUD DE YARUMAL
05890,DIRECCION MUNICIPAL DE SALUD DE YOLOMBO
05893,DIRECCION MUNICIPAL DE SALUD DE YONDO
05895,DIRECCION MUNICIPAL DE SALUD DE ZARAGOZA
08000,DIRE3CCION DEPARTAMENTAL DE ATLANTICO
08001,DIRECCION MUNICIPAL DE SALUD DE BARRANQUILLA
08078,DIRECCION MUNICIPAL DE SALUD DE BARANOA
08137,DIRECCION MUNICIPAL DE SALUD DE CAMPO DE LA CRUZ
08141,DIRECCION MUNICIPAL DE SALUD DE CANDELARIA
08296,DIRECCION MUNICIPAL DE SALUD DE GALAPA
08372,DIRECCION MUNICIPAL DE SALUD DE JUAN DE ACOSTA
08421,DIRECCION MUNICIPAL DE SALUD DE LURUACO
08433,DIRECCION MUNICIPAL DE SALUD DE MALAMBO
08436,DIRECCION MUNICIPAL DE SALUD DE MANATI
08520,DIRECCION MUNICIPAL DE SALUD DE PALMAR DE VARELA
08549,DIRECCION MUNICIPAL DE SALUD DE PIOJO
08558,DIRECCION MUNICIPAL DE SALUD DE POLONUEVO
08560,DIRECCION MUNICIPAL DE SALUD DE PONEDERA
08573,DIRECCION MUNICIPAL DE SALUD DE PUERTO COLOMBIA
08606,DIRECCION MUNICIPAL DE SALUD DE REPELON
08634,DIRECCION MUNICIPAL DE SALUD DE SABANAGRANDE
