Codigo,Descripcion,Limitada a un Sexo,Limite Inferior de edad,Limite Superior de edad
P009,Feto y recien nacido afectados por afeccion materna no especificada,,000H,011M
P010,Feto y recien nacido afectados por incompetencia del cuello uterino,,000H,011M
P011,Feto y recien nacido afectados por ruptura prematura de las membranas,,000H,011M
P012,Feto y recien nacido afectados por oligohidramnios,,000H,011M
P013,Feto y recien nacido afectados por polihidramnios,,000H,011M
P014,Feto y recien nacido afectados por embarazo ectopico,,000H,011M
P015,Feto y recien nacido afectados por embarazo multiple,,000H,011M
P016,Feto y recien nacido afectados por muerte materna,,000H,011M
P017,Feto y recien nacido afectados por presentacion anomala antes del trabajo de parto,,000H,011M
P018,Feto y recien nacido afectados por otras complicaciones maternas del embarazo,,000H,011M
P019,Feto y recien nacido afectados por complicaciones maternas no especificadas del embarazo,,000H,011M
P020,Feto y recien nacido afectados por placenta previa,,000H,011M
P021,Feto y recien nacido afectados por otras formas de desprendimiento y de hemorragia placentarios,,000H,011M
P022,Feto y recien nacido afectados por otras anormalidades morfologicas y funcionales de la placenta y las no especificadas,,000H,011M
P023,Feto y recien nacido afectados por sindromes de transfusion placentaria,,000H,011M
P024,Feto y recien nacido afectados por prolapso del cordon umbilical,,000H,011M
P025,Feto y recien nacido afectados por otra compresion del cordon umbilical,,000H,011M
P026,Feto y recien nacido afectados por otras complicaciones del cordon umbilical y las no especificadas,,000H,011M
P027,Feto y recien nacido afectados por corioamnionitis,,000H,011M
P028,Feto y recien nacido afectados por otras anormalidades de las membranas,,000H,011M
P029,Feto y recien nacido afectados por anormalidad no especificada de las membranas,,000H,011M
P030,Feto y recien nacido afectados por parto y extraccion de nalgas,,000H,011M
P031,"Feto y recien nacido afectados por otra presentacion anomala, posicion anomala y desproporcion durante el trabajo de parto y el parto",,000H,011M
P032,Feto y recien nacido afectados por parto con forceps,,000H,011M
P033,Feto y recien nacido afectados por parto con ventosa extractora,,000H,011M
P034,Feto y recien nacido afectados por parto por cesarea,,000H,011M
P035,Feto y recien nacido afectados por parto precipitado,,000H,011M
P036,Feto y recien nacido afectados por contracciones uterinas anormales,,000H,011M
P038,Feto y recien nacido afectados por otras complicaciones especificadas del trabajo de parto y del parto,,000H,011M
P039,Feto y recien nacido afectados por complicaciones no especificadas del trabajo de parto y del parto,,000H,011M
P040,"Feto y recien nacido afectados por anestesia y analgesia materna en el embarazo, trabajo de parto y en el parto",,000H,011M
P041,Feto y recien nacido afectados por otras medicaciones maternas,,000H,011M
P042,Feto y recien nacido afectados por tabaquismo de la madre,,000H,011M
P043,Feto y recien nacido afectados por alcoholismo de la madre,,000H,011M
P044,Feto y recien nacido afectados por drogadiccion materna,,000H,011M
P045,Feto y recien nacido afectados por el uso materno de sustancias quimicas nutricionales,,000H,011M
P046,Feto y recien nacido afectados por exposicion materna a sustancias quimicas ambientales,,000H,011M
P048,Feto y recien nacido afectados por otras influencias nocivas de la madre,,000H,011M
P049,"Feto y recien nacido afectados por influencias nocivas de la madre, no especificadas",,000H,011M
P050,Bajo peso para la edad gestacional,,000H,011M
P051,Pequeno para la edad gestacional,,000H,011M
P052,"Desnutricion fetal, sin mencion de peso o talla bajos para la edad gestacional",,000H,011M
P059,"Retardo del crecimiento fetal, no especificado",,000H,011M
P070,Peso extremadamente bajo al nacer,,000H,011M
P071,Otro peso bajo al nacer,,000H,011M
P072,Inmaturidad extrema,,000H,011M
P073,Otros recien nacidos pretermino,,000H,011M
P080,Recien nacido excepcionalmente grande,,000H,011M
P081,Otros recien nacidos con sobrepeso para la edad gestacional,,000H,011M
P082,Recien nacido postermino sin sobrepeso para su edad gestacional,,000H,011M
P100,Hemorragia subdural debida a traumatismo del nacimiento,,000H,027D
P101,Hemorragia cerebral debida a traumatismo del nacimiento,,000H,027D
P102,Hemorragia intraventricular debida a traumatismo del nacimiento,,000H,027D
P103,Hemorragia subaracnoidea debida a traumatismo del nacimiento,,000H,027D
P104,Desgarro  tentorial debido a traumatismo del nacimiento,,000H,027D
P108,Otras Hemorragias y laceraciones intracraneales debidas a traumatismo del nacimiento,,000H,027D
P109,"Hemorragia y laceracion intracraneales no especificadas, debidas a traumatismo del nacimiento",,000H,027D
P110,Edema cerebral debido a traumatismo del nacimiento,,000H,011M
P111,"Otras lesiones especificadas del encefalo, debidas a traumatismo del nacimiento",,000H,011M
P112,"Lesion no especificada del encefalo, debida a traumatismo del nacimiento",,000H,011M
P113,Traumatismo del nacimiento en el nervio facial,,000H,011M
P114,Traumatismo del nacimiento en otros nervios craneales,,000H,011M
P115,Traumatismo del nacimiento en la columna vertebral y en la medula espinal,,000H,011M
P119,"Traumatismo del nacimiento en el sistema nervioso central, no especificado",,000H,011M
P120,Cefalohematoma debido a traumatismo del nacimiento,,000H,027D
P121,Caput succedaneum debido a traumatismo del nacimiento,,000H,027D
P122,Hemorragia epicraneal subaponeurotica debida a traumatismo del nacimiento,,000H,027D
P123,Equimosis del cuero cabelludo debida a traumatismo del nacimiento,,000H,027D
P124,Traumatismo en el cuero cabelludo del recien nacido por monitoreo fetal,,000H,027D
P128,Otros traumatismos del nacimiento en el cuero cabelludo,,000H,027D
P129,"Traumatismo del nacimiento en el cuero cabelludo, no especificado",,000H,027D
P130,Fractura del craneo debida a traumatismo del nacimiento,,000H,011M
P131,Otros traumatismos del craneo durante el nacimiento,,000H,011M
P132,Traumatismo del femur durante el nacimiento,,000H,011M
P133,Traumatismo de otros huesos largos durante el nacimiento,,000H,011M
P134,Fractura de la clavicula debida a traumatismo del nacimiento,,000H,011M
P138,Traumatismo del nacimiento en otras partes del esqueleto,,000H,011M
P139,Traumatismo no especificado del esqueleto durante el nacimiento,,000H,011M
P140,Paralisis de Erb debida a traumatismo del nacimiento,,000H,011M
P141,Paralisis de Klumpke debida a traumatismo del nacimiento,,000H,011M
P142,Paralisis del nervio frenico debida a traumatismo del nacimiento,,000H,011M
P143,Otro traumatismo del plexo braquial durante el nacimiento,,000H,011M
P148,Traumatismo durante el nacimiento en otras partes del sistema nervioso periferico,,000H,011M
P149,Traumatismo no especificado del sistema nervioso periferico durante el nacimiento,,000H,011M
P150,Lesion del higado durante el nacimiento,,000H,011M
P151,Lesion del bazo durante el nacimiento,,000H,011M
P152,Traumatismo del musculo esternocleidomastoideo durante el nacimiento,,000H,011M
P153,Traumatismo ocular durante el nacimiento,,000H,011M
P154,Traumatismo facial durante el nacimiento,,000H,011M
P155,Traumatismo de los genitales externos durante el nacimiento,,000H,011M
P156,Necrosis grasa subcutanea debida a traumatismo del nacimiento,,000H,011M
P158,"Otros traumatismos especificados, durante el nacimiento",,000H,011M
P159,"Traumatismo no especificado, durante el nacimiento",,000H,011M
P200,Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto,,000H,011M
P201,Hipoxia intrauterina notada por primera vez durante el trabajo de parto y el parto,,000H,011M
P209,"Hipoxia intrauterina, no especificada",,000H,011M
P210,"Asfixia del nacimiento, severa",,000H,011M
P211,"Asfixia del nacimiento, leve y moderada",,000H,011M
P219,"Asfixia del nacimiento, no especificada",,000H,011M
P220,Sindrome de dificultad respiratoria del recien nacido,,000H,011M
P221,Taquipnea transitoria del recien nacido,,000H,011M
P228,Otras dificultades respiratorias del recien nacido,,000H,011M
P229,"Dificultad respiratoria del recien nacido, no especificada",,000H,011M
P230,Neumonia congenita debida a agente viral,,000H,011M
P231,Neumonia congenita debida a chlamydia,,000H,011M
P232,Neumonia congenita debida a estafilococos,,000H,011M
P233,Neumonia congenita debida a estreptococos del grupo B,,000H,011M
P234,Neumonia congenita debida a Escherichia coli,,000H,011M
P235,Neumonia congenita debida a Pseudomonas,,000H,011M
P236,Neumonia congenita debida a otros agentes bacterianos,,000H,011M
P238,Neumonia congenita debida a otros organismos,,000H,011M
P239,"Neumonia congenita, organismo no especificado",,000H,011M
P240,Aspiracion neonatal de meconio,,000H,011M
P241,Aspiracion neonatal de liquido amniotico y de moco,,000H,011M
P242,Aspiracion neonatal de sangre,,000H,011M
P243,Aspiracion neonatal de leche y alimento regurgitado,,000H,011M
P248,Otros sindromes de aspiracion neonatal,,000H,011M
P249,"Sindrome de aspiracion neonatal, sin otra especificacion",,000H,011M
P250,Enfisema intersticial originado en el periodo perinatal,,000H,011M
P251,Neumotorax originado en el periodo perinatal,,000H,011M
P252,Neumomediastino originado en el periodo perinatal,,000H,011M
P253,Neumopericardio originado en el periodo perinatal,,000H,011M
P258,"Otras afecciones relacionadas con el enfisema intersticial, originadas en el periodo perinatal",,000H,011M
P260,Hemorragia traqueobronquial originada en el periodo perinatal,,000H,011M
P261,Hemorragia pulmonar masiva originada en el periodo perinatal,,000H,011M
P268,Otras Hemorragias pulmonares originadas en el periodo perinatal,,000H,011M
P269,"Hemorragia pulmonar no especificada, originada en el periodo perinatal",,000H,011M
P270,Sindrome de Wilson-Mikity,,000H,011M
P271,Displasia broncopulmonar originada en el periodo perinatal,,000H,011M
P278,Otras enfermedades respiratorias cronicas originadas en el periodo perinatal,,000H,011M
P279,Enfermedad respiratoria cronica no especificada originada en el periodo perinatal,,000H,011M
P280,Atelectasia primaria del recien nacido,,000H,011M
P281,Otras atelectasias del recien nacido y las no especificadas,,000H,011M
P282,Ataque cianotico del recien nacido,,000H,011M
P283,Apnea primaria del sueno del recien nacido,,000H,011M
P284,Otras apneas del recien nacido,,000H,011M
P285,Insuficiencia respiratoria del recien nacido,,000H,011M
P288,Otros problemas respiratorios especificados del recien nacido,,000H,011M
P289,Afeccion respiratoria no especificada del recien nacido,,000H,011M
P290,Insuficiencia cardiaca neonatal,,000H,011M
P291,Disritmia cardiaca neonatal,,000H,011M
P292,Hipertension neonatal,,000H,011M
P293,Persistencia de la circulacion fetal,,000H,011M
P294,Isquemia miocardica transitoria del recien nacido,,000H,011M
P298,Otros trastornos cardiovasculares originados en el periodo perinatal,,000H,011M
P299,"Trastorno cardiovascular no especificado, originado en el periodo perinatal",,000H,011M
P350,Sindrome de rubeola congenita,,000H,011M
P351,Infeccion citomegalovirica congenita,,000H,011M
P352,Infecciones congenitas por virus del herpes simple,,000H,011M
P353,Hepatitis viral congenita,,000H,011M
P358,Otras enfermedades virales congenitas,,000H,011M
P359,"Enfermedad viral congenita, sin otra especificacion",,000H,011M
P360,Sepsis del recien nacido debida a estreptococo del grupo B,,000H,011M
P361,Sepsis del recien nacido debida a otros estreptococos  y a los no especificados,,000H,011M
P362,Sepsis del recien nacido debida a Staphylococcus aureus,,000H,011M
P363,Sepsis del recien nacido debida a otros estafilococos  y a los no especificados,,000H,011M
P364,Sepsis del recien nacido debida a Escherichia coli,,000H,011M
P365,Sepsis del recien nacido debida a anaerobios,,000H,011M
P368,Sepsis del recien nacido debida a otras bacterias,,000H,011M
P369,"Sepsis bacteriana del recien nacido, no especificada",,000H,011M
P370,Tuberculosis congenita,,000H,011M
P371,Toxoplasmosis congenita,,000H,011M
P372,Listeriosis congenita (diseminada),,000H,011M
P373,Paludismo congenito por Plasmodium falciparum,,000H,011M
P374,Otros paludismos congenitos,,000H,011M
P375,Candidiasis neonatal,,000H,011M
P378,Otras enfermedades neonatales infecciosas o parasitarias especificadas,,000H,011M
P379,"Enfermedad infecciosa y parasitaria congenita, no especificada",,000H,011M
P38X,Onfalitis del recien nacido con o sin hemorragia leve,,000H,011M
P390,Mastitis infecciosa neonatal,,000H,011M
P391,Conjuntivitis y dacriocistitis neonatales,,000H,011M
P392,"Infeccion intraamniotica del feto, no clasificada en otra parte",,000H,011M
P393,Infeccion neonatal de las vias urinarias,,000H,011M
P394,Infeccion cutanea neonatal,,000H,011M
P398,Otras infecciones especificadas propias del periodo perinatal,,000H,011M
P399,"Infeccion propia del periodo perinatal, no especificada",,000H,011M
P500,Perdida de sangre fetal por vasa previa,,000H,027D
P501,Perdida de sangre fetal por ruptura del cordon umbilical,,000H,027D
P502,Perdida de sangre fetal por la placenta,,000H,027D
P503,Hemorragia fetal hacia el otro gemelo,,000H,027D
P504,Hemorragia fetal hacia la circulacion materna,,000H,027D
P505,Perdida de sangre fetal por el corte del cordon umbilical en el otro gemelo,,000H,027D
P508,Otras perdidas de sangre fetal,,000H,027D
P509,"Perdida de sangre fetal, no especificada",,000H,027D
P510,Hemorragia umbilical masiva del recien nacido,,000H,027D
P518,Otras hemorragias umbilicales del recien nacido,,000H,027D
P519,"Hemorragia umbilical del recien nacido, sin otra especificacion",,000H,027D
P520,"Hemorragia intraventricular (no traumatica) grado 1, del feto y del recien nacido",,000H,027D
P521,"Hemorragia intraventricular (no traumatica) grado 2, del feto y del recien nacido",,000H,027D
P522,"Hemorragia intraventricular (no traumatica) grado 3, del feto y del recien nacido",,000H,027D
P523,"Hemorragia intraventricular (no traumatica) del feto y del recien nacido, sin otra especificacion",,000H,027D
P524,Hemorragia intracerebral (no traumatica) del feto y del recien nacido,,000H,027D
P525,Hemorragia subaracnoidea (no traumatica) del feto y del recien nacido,,000H,027D
P526,Hemorragia cerebelosa y de la fosa posterior (no traumatica) del feto y del recien nacido,,000H,027D
P528,Otras hemorragias intracraneales (no traumaticas) del feto y del recien nacido,,000H,027D
P529,"Hemorragia intracraneal (no traumatica) del feto y del recien nacido, sin otra especificacion",,000H,027D
P53X,Enfermedad hemorragica del feto y del recien nacido,,000H,027D
P540,Hematemesis neonatal,,000H,011M
P541,Melena neonatal,,000H,011M
P542,Hemorragia rectal neonatal,,000H,011M
P543,Otras hemorragias gastrointestinales neonatales,,000H,011M
P544,Hemorragia suprarrenal neonatal,,000H,011M
P545,Hemorragia cutanea neonatal,,000H,011M
P546,Hemorragia vaginal neonatal,2,000H,011M
P548,Otras hemorragias fetales y neonatales especificadas,,000H,011M
P549,"Hemorragia neonatal, no especificada",,000H,011M
P550,Incompatibilidad Rh del feto y del recien nacido,,000H,011M
P551,Incompatibilidad ABO del feto y del recien nacido,,000H,011M
P558,Otras enfermedades hemoliticas del feto y del recien nacido,,000H,011M
P559,"Enfermedad hemolitica del feto y del recien nacido, no especificada",,000H,011M
P560,Hidropesia fetal debida a incompatibilidad,,000H,011M
P569,Hidropesia fetal debida a otras enfermedades hemoliticas especificadas y a las no especificadas,,000H,011M
P570,Kernicterus debido a incompatibilidad,,000H,011M
P578,Kernicterus debido a otras causas especificadas,,000H,011M
P579,"Kernicterus, no especificado",,000H,011M
P580,Ictericia neonatal debida a contusion,,000H,011M
P581,Ictericia neonatal debida a hemorragia,,000H,011M
P582,Ictericia neonatal debida a infeccion,,000H,011M
P583,Ictericia neonatal debida a policitemia,,000H,011M
P584,Ictericia neonatal debida a drogas o toxinas transmitidas por la madre o administradas al recien nacido,,000H,011M
P585,Ictericia neonatal debida a deglucion de sangre materna,,000H,011M
P588,Ictericia neonatal debida a otras hemolisis excesivas especificadas,,000H,011M
P589,"Ictericia neonatal debida a hemolisis excesiva, sin otra especificacion",,000H,011M
P590,Ictericia neonatal asociada con el parto antes de termino,,000H,011M
P591,Sindrome de la bilis espesa,,000H,011M
P592,Ictericia neonatal debida a otra lesion hepatica especificada o no,,000H,011M
P593,Ictericia neonatal por inhibidor de la leche materna,,000H,011M
P598,Ictericia neonatal por otras causas especificadas,,000H,011M
P599,"Ictericia neonatal, no especificada",,000H,011M
P60X,Coagulacion intravascular diseminada en el feto y el recien nacido,,000H,011M
P610,Trombocitopenia neonatal transitoria,,000H,011M
P611,Policitemia neonatal,,000H,011M
P612,Anemia de la prematuridad,,000H,011M
P613,Anemia congenita debida a perdida de sangre fetal,,000H,011M
P614,"Otras anemias congenitas, no clasificadas en otra parte",,000H,011M
P615,Neutropenia neonatal transitoria,,000H,011M
P616,Otros trastornos neonatales transitorios de la coagulacion,,000H,011M
P618,Otros trastornos hematologicos perinatales especificados,,000H,011M
P619,"Trastorno hematologico perinatal, no especificado",,000H,011M
P700,Sindrome del recien nacido de madre con diabetes gestacional,,000H,011M
P701,Sindrome del recien nacido de madre diabetica,,000H,011M
P702,Diabetes mellitus neonatal,,000H,011M
P703,Hipoglicemia neonatal yatrogenica,,000H,011M
P704,Otras hipoglicemias neonatales,,000H,011M
P708,Otros trastornos transitorios del metabolismo de los carbohidratos en el feto y el recien nacido,,000H,011M
P709,Trastorno transitorio no especificado del metabolismo de los carbohidratos en el feto y el recien nacido,,000H,011M
P710,Hipocalcemia del recien nacido debida a la leche de vaca,,000H,011M
P711,Otra hipocalcemia neonatal,,000H,011M
P712,Hipomagnesemia neonatal,,000H,011M
P713,Tetania neonatal sin mencion de deficiencia de calcio o de magnesio,,000H,011M
P714,Hipoparatiroidismo neonatal transitorio,,000H,011M
P718,Otros trastornos neonatales transitorios del metabolismo del calcio y del magnesio,,000H,011M
P719,Trastorno neonatal transitorio no especificado del metabolismo del calcio y del magnesio,,000H,011M
P720,"Bocio neonatal, no clasificado en otra parte",,000H,011M
P721,Hipertiroidismo neonatal transitorio,,000H,011M
P722,"Otros trastornos neonatales transitorios de la funcion tiroidea, no clasificados en otra parte",,000H,011M
P728,Otros trastornos endocrinos neonatales transitorios especificados,,000H,011M
P729,"Trastorno endocrino neonatal transitorio, no especificado",,000H,011M
P740,Acidosis metabolica tardia del recien nacido,,000H,011M
P741,Deshidratacion del recien nacido,,000H,011M
P742,Alteraciones del equilibrio del sodio en el recien nacido,,000H,011M
P743,Alteraciones del equilibrio del potasio en el recien nacido,,000H,011M
P744,Otras alteraciones electroliticas transitorias del recien nacido,,000H,011M
P745,Tirosinemia transitoria del recien nacido,,000H,011M
P748,Otras alteraciones metabolicas transitorias del recien nacido,,000H,011M
P749,"Trastorno metabolico transitorio del recien nacido, no especificado",,000H,011M
P75X,ileo meconial en la fibrosis quistica (E84.1†),,000H,011M
P760,Sindrome del tapon de meconio,,000H,011M
P761,ileo transitorio del recien nacido,,000H,011M
P762,Obstruccion intestinal debida a la leche espesa,,000H,011M
P768,Otras obstrucciones intestinales especificadas del recien nacido,,000H,011M
P769,"Obstruccion intestinal del recien nacido, no especificada",,000H,011M
P77X,Enterocolitis necrotizante del feto y del recien nacido,,000H,011M
P780,Perforacion intestinal perinatal,,000H,011M
P781,Otras peritonitis neonatales,,000H,011M
P782,Hematemesis y melena neonatales debidas a la deglucion de sangre materna,,000H,011M
P783,Diarrea neonatal no infecciosa,,000H,011M
P788,Otros trastornos perinatales especificos del sistema digestivo,,000H,011M
P789,"Trastorno perinatal del sistema digestivo, no especificado",,000H,011M
P800,Sindrome del enfriamiento,,000H,011M
P808,Otras hipotermias del recien nacido,,000H,011M
P809,"Hipotermia del recien nacido, no especificada",,000H,011M
P810,Hipertermia del recien nacido inducida por las condiciones ambientales,,000H,011M
P818,Otras alteraciones especificadas de la regulacion de la temperatura del recien nacido,,000H,011M
P819,Alteracion no especificada de la regulacion de la temperatura en el recien nacido,,000H,011M
P830,Esclerema neonatal,,000H,011M
P831,Eritema toxico neonatal,,000H,011M
P832,Hidropesia fetal no debida a enfermedad hemolitica,,000H,011M
P833,"Otros edemas y los no especificados, propios del feto y del recien nacido",,000H,011M
P834,Ingurgitacion mamaria del recien nacido,,000H,011M
P835,Hidrocele congenito,,000H,011M
P836,Polipo umbilical del recien nacido,,000H,011M
P838,"Otras afecciones especificadas de la piel, propias del feto y del recien nacido",,000H,011M
P839,"Afeccion no especificada de la piel, propia del feto y del recien nacido",,000H,011M
P90X,Convulsiones del recien nacido,,000H,011M
P910,Isquemia cerebral neonatal,,000H,011M
P911,Quistes periventriculares adquiridos del recien nacido,,000H,011M
P912,Leucomalacia cerebral neonatal,,000H,011M
P913,Irritabilidad cerebral neonatal,,000H,011M
P914,Depresion cerebral neonatal,,000H,011M
P915,Coma neonatal,,000H,011M
P916,Encefalopatia hipoxico isquemica del recien nacido,,000H,011M
P918,Otras alteraciones cerebrales especificadas del recien nacido,,000H,011M
P919,Alteracion cerebral no especificada del recien nacido,,000H,011M
P920,Vomitos del recien nacido,,000H,011M
P921,Regurgitacion y rumiacion del recien nacido,,000H,011M
P922,Lentitud en la ingestion de alimentos del recien nacido,,000H,011M
P923,Hipoalimentacion del recien nacido,,000H,011M
P924,Hiperalimentacion del recien nacido,,000H,011M
P925,Dificultad neonatal en la lactancia materna,,000H,011M
P928,Otros problemas de alimentacion del recien nacido,,000H,011M
P929,Problema no especificado de la alimentacion del recien nacido,,000H,011M
P93X,Reacciones e intoxicaciones debidas a drogas administradas al feto y al recien nacido,,000H,011M
P940,Miastenia grave neonatal transitoria,,000H,011M
P941,Hipertonia congenita,,000H,011M
P942,Hipotonia congenita,,000H,011M
P948,Otros trastornos del tono muscular en el recien nacido,,000H,011M
P949,Trastorno no especificado del tono muscular en el recien nacido,,000H,011M
P95X,Muerte fetal de causa no especificada,,,
P960,Insuficiencia renal congenita,,000H,011M
P961,Sintomas neonatales de abstinencia por drogadiccion materna,,000H,011M
P962,Sintomas de abstinencia por el uso terapeutico de drogas en el recien nacido,,000H,011M
P963,Amplitud de las suturas craneales del recien nacido,,000H,011M
P964,"Terminacion del embarazo, feto y recien nacido",,000H,011M
P965,"Complicaciones de procedimientos intrauterinos, no clasificados en otra parte",,000H,011M
P968,Otras afecciones especificadas originadas en el periodo perinatal,,000H,011M
P969,Afeccion no especificada originada en el periodo perinatal,,000H,011M
Q000,Anencefalia,,000H,027D
Q001,Craneorraquisquisis,,000H,027D
Q002,Iniencefalia,,000H,027D
Q010,Encefalocele frontal,,,
Q011,Encefalocele nasofrontal,,,
Q012,Encefalocele occipital,,,
Q018,Encefalocele de otros sitios,,,
Q019,"Encefalocele, no especificado",,,
Q02X,Microcefalia,,,
Q030,Malformaciones del acueducto de Silvio,,,
Q031,Atresia de los agujeros de Magendie y de Luschka,,,
Q038,Otros hidrocefalos congenitos,,,
Q039,"Hidrocefalo congenito, no especificado",,,
Q040,Malformaciones congenitas del cuerpo calloso,,,
Q041,Arrinencefalia,,,
Q042,Holoprosencefalia,,,
Q043,Otras anomalias hipoplasicas del encefalo,,,
Q044,Displasia opticoseptal,,,
Q045,Megalencefalia,,,
Q046,Quistes cerebrales congenitos,,,
Q048,"Otras malformaciones congenitas del encefalo, especificadas",,,
Q049,"Malformacion congenita del encefalo, no especificada",,,
Q050,Espina bifida cervical con hidrocefalo,,,
Q051,Espina bifida toracica con hidrocefalo,,,
Q052,Espina bifida lumbar con hidrocefalo,,,
Q053,Espina bifida sacra con hidrocefalo,,,
Q054,"Espina bifida con hidrocefalo, sin otra especificacion",,,
Q055,Espina bifida cervical sin hidrocefalo,,,
Q056,Espina bifida toracica sin hidrocefalo,,,
Q057,Espina bifida lumbar sin hidrocefalo,,,
Q058,Espina bifida sacra sin hidrocefalo,,,
Q059,"Espina bifida, no especificada",,,
Q060,Amielia,,,
Q061,Hipoplasia y displasia de la medula espinal,,,
Q062,Diastematomielia,,,
Q063,Otras anomalias congenitas de la cola de caballo,,,
Q064,Hidromielia,,,
Q068,Otras malformaciones congenitas especificadas de la medula espinal,,,
Q069,"Malformacion congenita de la medula espinal, no especificada",,,
Q070,Sindrome de Arnold-Chiari,,,
Q078,"Otras malformaciones congenitas del sistema nervioso, especificadas",,,
Q079,"Otras malformaciones congenitas del sistema nervioso, no especificada",,,
Q100,Blefaroptosis congenita,,,
Q101,Ectropion congenito,,,
Q102,Entropion congenito,,,
Q103,Otras malformaciones congenitas de los parpados,,,
Q104,Ausencia y agenesia del aparato lagrimal,,,
Q105,Estenosis y estrechez congenitas del conducto lagrimal,,,
Q106,Otras malformaciones congenitas del aparato lagrimal,,,
Q107,Malformacion congenita de la orbita,,,
Q110,Globo ocular quistico,,,
Q111,Otras anoftalmias,,,
Q112,Microftalmia,,,
Q113,Macroftalmia,,,
Q120,Catarata congenita,,,
Q121,Desplazamiento congenito del cristalino,,,
Q122,Coloboma del cristalino,,,
Q123,Afaquia congenita,,,
Q124,Esferofaquia,,,
Q128,Otras malformaciones congenitas del cristalino,,,
Q129,"Malformacion congenita del cristalino, no especificada",,,
Q130,Coloboma del iris,,,
Q131,Ausencia del iris,,,
Q132,Otras malformaciones congenitas del iris,,,
Q133,Opacidad corneal congenita,,,
Q134,Otras malformaciones congenitas de la cornea,,,
Q135,Esclerotica azul,,,
Q138,Otras malformaciones congenitas del segmento anterior del ojo,,,
Q139,"Malformacion congenita del segmento anterior del ojo, no especificada",,,
Q140,Malformacion congenita del humor vitreo,,,
Q141,Malformacion congenita de la retina,,,
Q142,Malformacion congenita del disco optico,,,
Q143,Malformacion congenita de la coroides,,,
Q148,Otras malformaciones congenitas del segmento posterior del ojo,,,
Q149,"Malformacion congenita del segmento posterior del ojo, no especificada",,,
Q150,Glaucoma congenito,,,
Q158,"Otras malformaciones congenitas del ojo, especificadas",,,
Q159,"Malformaciones congenitas del ojo, no especificadas",,,
Q160,Ausencia congenita del pabellon (de la oreja),,,
Q161,"Ausencia congenita, atresia o estrechez del conducto auditivo (externo)",,,
Q162,Ausencia de la trompa de Eustaquio,,,
Q163,Malformacion congenita de los huesecillos del oido,,,
Q164,Otras malformaciones congenitas del oido medio,,,
Q165,Malformacion congenita del oido interno,,,
Q169,"Malformacion congenita del oido que causa alteracion de la audicion, sin otra especificacion",,,
Q170,Oreja supernumeraria,,,
Q171,Macrotia,,,
Q172,Microtia,,,
Q173,Otras deformidades del pabellon auricular,,,
Q174,Anomalia de la posicion de la oreja,,,
Q175,Oreja prominente,,,
Q178,"Otras malformaciones congenitas del oido, especificadas",,,
Q179,"Malformacion congenita del oido, no especificada",,,
Q180,"Seno, fistula o quiste de la hendidura branquial",,,
Q181,Seno y quiste preauricular,,,
Q182,Otras malformaciones de las hendiduras branquiales,,,
Q183,Pterigion del cuello,,,
Q184,Macrostomia,,,
Q185,Microstomia,,,
Q186,Macroqueilia,,,
Q187,Microqueilia,,,
Q188,Otras malformaciones congenitas especificadas de cara y cuello,,,
Q189,"Malformacion congenita de la cara y del cuello, no especificada",,,
Q200,Tronco arterioso comun,,,
Q201,Transposicion de los grandes vasos en ventriculo derecho,,,
Q202,Transposicion de los grandes vasos en ventriculo izquierdo,,,
Q203,Discordancia de la conexion ventriculoarterial,,,
Q204,Ventriculo con doble entrada,,,
Q205,Discordancia de la conexion auriculoventricular,,,
Q206,Isomerismo de los apendices auriculares,,,
Q208,Otras malformaciones congenitas de las camaras cardiacas y sus conexiones,,,
Q209,"Malformacion congenita de las camaras cardiacas y sus conexiones, no especificada",,,
Q210,Defecto del tabique ventricular,,,
Q211,Defecto del tabique auricular,,,
Q212,Defecto del tabique auriculoventricular,,,
Q213,Tetralogia de Fallot,,,
Q214,Defecto del tabique aortopulmonar,,,
Q218,Otras malformaciones congenitas de los tabiques cardiacos,,,
Q219,"Malformacion congenita del tabique cardiaco, no especificada",,,
Q220,Atresia de la valvula pulmonar,,,
Q221,Estenosis congenita de la valvula pulmonar,,,
Q222,Insuficiencia congenita de la valvula pulmonar,,,
Q223,Otras malformaciones congenitas de la valvula pulmonar,,,
Q224,Estenosis congenita de la valvula tricuspide,,,
Q225,Anomalia de Ebstein,,,
Q226,Sindrome de hipoplasia del corazon derecho,,,
Q228,Otras malformaciones congenitas de la valvula tricuspide,,,
Q229,"Malformacion congenita de la valvula tricuspide, no especificada",,,
Q230,Estenosis congenita de la valvula aortica,,,
Q231,Insuficiencia congenita de la valvula aortica,,,
Q232,Estenosis mitral congenita,,,
Q233,Insuficiencia mitral congenita,,,
Q234,Sindrome de hipoplasia del corazon izquierdo,,,
Q238,Otras malformaciones congenitas de las valvulas aortica y mitral,,,
Q239,"Malformacion congenita de las valvulas aortica y mitral, no especificada",,,
Q240,Dextrocardia,,,
Q241,Levocardia,,,
Q242,Corazon triauricular,,,
Q243,Estenosis del infundibulo pulmonar,,,
Q244,Estenosis subaortica congenita,,,
Q245,Malformacion de los vasos coronarios,,,
Q246,Bloqueo cardiaco congenito,,,
Q248,"Otras malformaciones congenitas del corazon, especificadas",,,
Q249,"Malformacion congenita del corazon, no especificada",,,
